,eng_version,Source,Genres
3872,Umineko no Naku Koro ni,Visual novel,"Mystery, Horror, Psychological, Supernatural"
3873,Kuroshitsuji,Manga,"Action, Mystery, Comedy, Historical, Demons, Supernatural, Shounen"
3933,Kurozuka,Manga,"Action, Drama, Historical, Horror, Romance, Sci-Fi, Vampire"
3934,One Outs,Manga,"Sports, Psychological, Seinen"
3952,Kurokami The Animation,Manga,"Action, Super Power, Martial Arts, Seinen"
4002,Denpa-teki na Kanojo,Light novel,"Mystery, Thriller, School"
4053,Shugo Chara!! Doki,Manga,"Comedy, Magic, School, Shoujo"
4140,Detective Conan Movie 13: The Raven Chaser,Manga,"Action, Police, Mystery, Shounen"
4168,07-Ghost,Manga,"Action, Demons, Fantasy, Josei, Magic, Military"
4171,Pandora Hearts,Manga,"Adventure, Fantasy, Mystery, Shounen, Supernatural"
4221,Dogs: Bullets & Carnage,Manga,"Action, Seinen"
4274,Summer Wars,Original,"Sci-Fi, Comedy"
4275,Phantom: Requiem for the Phantom,Visual novel,"Action, Drama, Seinen, Thriller"
4289,Kiniro no Corda: Secondo Passo,Visual novel,"Harem, Music, School, Shoujo"
4328,Hanasakeru Seishounen,Manga,"Drama, Romance, Shoujo"
4429,Kimi ni Todoke,Manga,"Slice of Life, Drama, Romance, School, Shoujo"
4430,Tales of Vesperia: The First Strike,Game,"Action, Adventure, Fantasy, Magic, Military"
4490,Saint Seiya: The Lost Canvas - Meiou Shinwa,Manga,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural"
4605,Detective Conan Movie 14: The Lost Ship in the Sky,Manga,"Action, Mystery, Police, Shounen"
4657,Kurokami: Intermission,,"Action, Martial Arts, Super Power"
4710,Kuroshitsuji II,Manga,"Action, Comedy, Historical, Demons, Supernatural, Shounen"
4717,Hanasakeru Seishounen Recaps,Manga,"Drama, Romance, Shoujo"
4725,Mouryou no Hako: Chuuzenji Atsuko no Jikenbo - Hako no Yurei no Koto,Novel,"Mystery, Seinen, Supernatural, Thriller"
4728,Durarara!!,Light novel,"Action, Mystery, Supernatural"
4729,Dance in the Vampire Bund,Manga,"Action, Supernatural, Vampire"
4732,Tatakau Shisho: The Book of Bantorra,Light novel,"Action, Fantasy, Seinen, Super Power"
4758,InuYasha: Kanketsu-hen,Manga,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen"
4798,Deadman Wonderland,Manga,"Action, Horror, Sci-Fi, Shounen, Supernatural"
4847,Seikimatsu Occult Gakuin,Original,"Sci-Fi, Mystery, Comedy, Supernatural, School"
4886,Uragiri wa Boku no Namae wo Shitteiru,Manga,"Adventure, Drama, Fantasy, Shoujo, Shounen Ai"
4887,Black★Rock Shooter (OVA),Other,"Action, Slice of Life, Drama, School"
4945,Harukanaru Toki no Naka de 3: Owarinaki Unmei,Visual novel,"Action, Fantasy, Military, Supernatural, Demons, Historical, Shoujo"
4979,Darker than Black: Kuro no Keiyakusha Gaiden,Original,"Action, Mystery, Sci-Fi, Super Power"
5082,Loups=Garous,Novel,"Sci-Fi, Mystery, Thriller"
5107,Shinrei Tantei Yakumo,Novel,"Mystery, Horror, Supernatural"
5132,Shiki,Manga,"Horror, Mystery, Supernatural, Thriller, Vampire"
5168,B-gata H-kei,4-koma manga,"Comedy, Ecchi, Romance, School, Seinen"
5221,Highschool of the Dead,Manga,"Action, Horror, Supernatural, Ecchi, Shounen"
5260,One Piece Recap,Manga,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power"
5362,Durarara!! Specials,Light novel,"Action, Comedy, Supernatural"
5371,Gosick,Light novel,"Mystery, Historical, Drama, Romance"
5431,"Kyou, Koi wo Hajimemasu",Manga,"Romance, School, Shoujo"
5668,Omae Umasou da na,Picture book,"Action, Adventure, Fantasy, Kids"
5856,Kimi ni Todoke 2nd Season,Manga,"Slice of Life, Drama, Romance, School, Shoujo"
6148,Towa no Quon 1: Utakata no Kaben,Original,"Action, Sci-Fi, Super Power, Supernatural"
6234,Blood-C,Manga,"Action, Mystery, Horror, Supernatural, Vampire, School"
6295,Mirai Nikki,Manga,"Action, Mystery, Psychological, Shounen, Supernatural, Thriller"
6380,Un-Go,Novel,"Mystery, Supernatural"
6614,Sword Art Online,Light novel,"Action, Game, Adventure, Romance, Fantasy"
6620,Kuroko no Basket,Manga,"Comedy, School, Shounen, Sports"
6733,Ookami Kodomo no Ame to Yuki,Original,"Fantasy, Slice of Life"
7013,Psycho-Pass,Original,"Action, Sci-Fi, Police, Psychological"
7134,Chihayafuru 2,Manga,"Drama, Game, Josei, School, Slice of Life, Sports"
7169,Detective Conan Movie 17: Private Eye in the Distant Sea,Manga,"Adventure, Mystery, Comedy, Police, Shounen"
7207,Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,Visual novel,"Mystery, Horror, Supernatural"
7456,Suisei no Gargantia,Original,"Action, Sci-Fi, Adventure, Mecha"
7458,Hal,Original,"Sci-Fi, Drama, Romance, Shoujo"
7551,Kuroko no Basket 2nd Season,Manga,"Comedy, Sports, School, Shounen"
8142,Sidonia no Kishi,Manga,"Action, Mecha, Sci-Fi, Seinen, Space"
8646,Tokyo Ghoul,Manga,"Action, Mystery, Horror, Psychological, Supernatural, Drama, Seinen"
9664,Tokyo Ghoul √A,Manga,"Action, Mystery, Horror, Psychological, Supernatural, Drama, Seinen"
